"Date","Key","Keycode","Count"
"2017-11-10","Space",32,245
"2017-11-10",",",44,8
"2017-11-10","-",45,5
"2017-11-10",".",46,17
"2017-11-10","/",47,8
"2017-11-10","10",48,14
"2017-11-10","1",49,13
"2017-11-10","2",50,9
"2017-11-10","3",51,3
"2017-11-10",";",59,11
"2017-11-10","A",65,198
"2017-11-10","B",66,9
"2017-11-10","C",67,115
"2017-11-10","D",68,65
"2017-11-10","E",69,155
"2017-11-10","F",70,19
"2017-11-10","G",71,14
"2017-11-10","H",72,30
"2017-11-10","I",73,103
"2017-11-10","J",74,8
"2017-11-10","K",75,4
"2017-11-10","L",76,27
"2017-11-10","M",77,78
"2017-11-10","N",78,69
"2017-11-10","O",79,140
"2017-11-10","P",80,46
"2017-11-10","Q",81,14
"2017-11-10","R",82,94
"2017-11-10","S",83,94
"2017-11-10","T",84,72
"2017-11-10","U",85,44
"2017-11-10","V",86,51
"2017-11-10","W",87,6
"2017-11-10","X",88,14
"2017-11-10","Y",89,4
"2017-11-10","Z",90,14
"2017-11-10","[",91,2
"2017-11-10","NumPad 9",168,3
"2017-11-10","~",195,7
"2017-11-10","Escape",16777216,1
"2017-11-10","Tab",16777217,27
"2017-11-10","Backspace",16777219,124
"2017-11-10","Enter",16777220,69
"2017-11-10","Delete",16777223,1
"2017-11-10","Up",16777235,1
"2017-11-10","Right",16777236,4
"2017-11-10","Down",16777237,6
"2017-11-10","F2",16777265,1
"2017-11-10","16781905",16781905,1
"2017-11-10","NumPad 3",16781906,5
"2017-11-10","NumPad 5",16781908,6
"2017-11-10","NumPad 2",16781909,5
"2017-11-10","NumPad Enter",16781910,5
"2017-11-10","NumPad 0",16781912,7
"2017-11-10","NumPad 8",16781913,1
"2017-11-10","Right Alt",16781914,2
"2017-11-10","Left Alt",16781915,37
"2017-11-10","Left Control",16781917,74
"2017-11-10","NumPad 7",16781918,2
"2017-11-10","NumPad 6",16781919,1
"2017-11-10","NumPad 1",16781920,7
"2017-11-10","Right Shift",16781921,16
"2017-11-10","Left Shift",16781922,59
"2017-11-09","Space",32,3972
"2017-11-09",",",44,27
"2017-11-09","-",45,12
"2017-11-09",".",46,31
"2017-11-09","/",47,25
"2017-11-09","10",48,2
"2017-11-09","1",49,12
"2017-11-09","2",50,1
"2017-11-09","3",51,1
"2017-11-09","5",53,1
"2017-11-09","6",54,1
"2017-11-09","8",56,4
"2017-11-09","9",57,4
"2017-11-09",";",59,56
"2017-11-09","=",61,1
"2017-11-09","A",65,469
"2017-11-09","B",66,32
"2017-11-09","C",67,1033
"2017-11-09","D",68,135
"2017-11-09","E",69,367
"2017-11-09","F",70,50
"2017-11-09","G",71,57
"2017-11-09","H",72,52
"2017-11-09","I",73,214
"2017-11-09","J",74,34
"2017-11-09","K",75,9
"2017-11-09","L",76,67
"2017-11-09","M",77,157
"2017-11-09","N",78,273
"2017-11-09","O",79,388
"2017-11-09","P",80,71
"2017-11-09","Q",81,40
"2017-11-09","R",82,343
"2017-11-09","S",83,356
"2017-11-09","T",84,162
"2017-11-09","U",85,139
"2017-11-09","V",86,847
"2017-11-09","W",87,12
"2017-11-09","X",88,11
"2017-11-09","Y",89,10
"2017-11-09","Z",90,169
"2017-11-09","[",91,5
"2017-11-09","]",93,1
"2017-11-09","NumPad 9",168,2
"2017-11-09","~",195,32
"2017-11-09","NumPad -",202,62
"2017-11-09","Tab",16777217,119
"2017-11-09","Backspace",16777219,441
"2017-11-09","Enter",16777220,156
"2017-11-09","Insert",16777222,1
"2017-11-09","Delete",16777223,129
"2017-11-09","End",16777233,1
"2017-11-09","Left",16777234,31
"2017-11-09","Up",16777235,1
"2017-11-09","Right",16777236,49
"2017-11-09","Down",16777237,6
"2017-11-09","F2",16777265,1
"2017-11-09","NumPad +",16777428,1
"2017-11-09","NumPad .",16777471,3
"2017-11-09","16781905",16781905,5
"2017-11-09","NumPad 3",16781906,14
"2017-11-09","NumPad 5",16781908,137
"2017-11-09","NumPad 2",16781909,10
"2017-11-09","NumPad Enter",16781910,335
"2017-11-09","NumPad 4",16781911,13
"2017-11-09","NumPad 0",16781912,36
"2017-11-09","NumPad 8",16781913,8
"2017-11-09","Left Alt",16781915,724
"2017-11-09","Left Control",16781917,764
"2017-11-09","NumPad 7",16781918,14
"2017-11-09","NumPad 6",16781919,9
"2017-11-09","NumPad 1",16781920,51
"2017-11-09","Right Shift",16781921,31
"2017-11-09","Left Shift",16781922,693
"2017-11-08","Space",32,2657
"2017-11-08",",",44,391
"2017-11-08","-",45,29
"2017-11-08",".",46,77
"2017-11-08","/",47,31
"2017-11-08","10",48,1
"2017-11-08","1",49,18
"2017-11-08","2",50,4
"2017-11-08","3",51,5
"2017-11-08","4",52,1
"2017-11-08","7",55,46
"2017-11-08","8",56,3
"2017-11-08","9",57,3
"2017-11-08",";",59,51
"2017-11-08","=",61,1
"2017-11-08","A",65,869
"2017-11-08","B",66,91
"2017-11-08","C",67,644
"2017-11-08","D",68,254
"2017-11-08","E",69,744
"2017-11-08","F",70,105
"2017-11-08","G",71,109
"2017-11-08","H",72,121
"2017-11-08","I",73,4543
"2017-11-08","J",74,34
"2017-11-08","K",75,22
"2017-11-08","L",76,157
"2017-11-08","M",77,334
"2017-11-08","N",78,264
"2017-11-08","O",79,1184
"2017-11-08","P",80,183
"2017-11-08","Q",81,74
"2017-11-08","R",82,417
"2017-11-08","S",83,556
"2017-11-08","T",84,316
"2017-11-08","U",85,260
"2017-11-08","V",86,298
"2017-11-08","W",87,15
"2017-11-08","X",88,24
"2017-11-08","Y",89,13
"2017-11-08","Z",90,119
"2017-11-08","[",91,20
"2017-11-08","\",92,1
"2017-11-08","NumPad 9",168,5
"2017-11-08","~",195,34
"2017-11-08","NumPad -",202,18
"2017-11-08","Unknown",226,53
"2017-11-08","Escape",16777216,8
"2017-11-08","Tab",16777217,138
"2017-11-08","Backspace",16777219,785
"2017-11-08","Enter",16777220,255
"2017-11-08","Insert",16777222,1
"2017-11-08","Delete",16777223,41
"2017-11-08","End",16777233,1
"2017-11-08","Left",16777234,101
"2017-11-08","Up",16777235,4
"2017-11-08","Right",16777236,26
"2017-11-08","Down",16777237,6
"2017-11-08","Page Down",16777239,1
"2017-11-08","Capslock",16777252,2
"2017-11-08","F2",16777265,3
"2017-11-08","F4",16777267,1
"2017-11-08","F5",16777268,1
"2017-11-08","16781905",16781905,2
"2017-11-08","NumPad 3",16781906,9
"2017-11-08","NumPad 5",16781908,8
"2017-11-08","NumPad 2",16781909,11
